ok,status,latency_ms,error
True,200,200.69,
True,200,199.21,
True,200,201.93,
True,200,207.85,
True,200,203.56,
True,200,210.47,
True,200,212.05,
True,200,213.26,
True,200,217.56,
True,200,218.91,
True,200,220.01,
True,200,221.59,
True,200,226.50,
True,200,228.48,
True,200,229.50,
True,200,230.59,
True,200,232.42,
True,200,229.64,
True,200,230.56,
True,200,231.68,
True,200,186.70,
True,200,197.40,
True,200,195.75,
True,200,192.28,
True,200,189.64,
True,200,192.00,
True,200,183.66,
True,200,191.53,
True,200,194.90,
True,200,185.20,
True,200,193.98,
True,200,194.24,
True,200,188.06,
True,200,192.36,
True,200,201.97,
True,200,195.87,
True,200,197.77,
True,200,198.22,
True,200,199.86,
True,200,200.67,
True,200,176.17,
True,200,181.36,
True,200,177.58,
True,200,186.83,
True,200,188.73,
True,200,180.62,
True,200,189.05,
True,200,175.70,
True,200,206.99,
True,200,186.24,
True,200,184.52,
True,200,178.37,
True,200,176.37,
True,200,176.78,
True,200,194.06,
True,200,188.46,
True,200,186.20,
True,200,186.94,
True,200,193.52,
True,200,210.79,
True,200,169.14,
True,200,174.14,
True,200,181.10,
True,200,187.96,
True,200,175.23,
True,200,185.96,
True,200,187.19,
True,200,192.26,
True,200,185.93,
True,200,185.23,
True,200,175.82,
True,200,186.85,
True,200,173.09,
True,200,180.47,
True,200,177.33,
True,200,187.60,
True,200,186.15,
True,200,182.37,
True,200,181.78,
True,200,189.56,
True,200,178.43,
True,200,170.08,
True,200,167.96,
True,200,166.38,
True,200,191.77,
True,200,185.70,
True,200,175.13,
True,200,189.49,
True,200,188.31,
True,200,187.98,
True,200,187.14,
True,200,182.92,
True,200,186.28,
True,200,184.30,
True,200,180.53,
True,200,180.41,
True,200,180.45,
True,200,186.54,
True,200,183.76,
True,200,191.25,
True,200,191.55,
True,200,176.09,
True,200,182.62,
True,200,179.97,
True,200,184.01,
True,200,184.93,
True,200,184.65,
True,200,184.27,
True,200,186.04,
True,200,185.40,
True,200,187.68,
True,200,192.33,
True,200,197.14,
True,200,181.39,
True,200,183.51,
True,200,177.28,
True,200,182.36,
True,200,192.54,
True,200,191.58,
True,200,230.08,
True,200,175.77,
True,200,172.04,
True,200,173.15,
True,200,172.52,
True,200,182.24,
True,200,194.36,
True,200,185.83,
True,200,181.95,
True,200,189.05,
True,200,185.80,
True,200,186.27,
True,200,180.43,
True,200,176.79,
True,200,187.09,
True,200,178.74,
True,200,174.58,
True,200,186.36,
True,200,176.91,
True,200,199.16,
True,200,178.74,
True,200,171.75,
True,200,173.01,
True,200,173.36,
True,200,179.49,
True,200,171.10,
True,200,180.99,
True,200,190.41,
True,200,190.49,
True,200,170.29,
True,200,186.11,
True,200,185.80,
True,200,195.47,
True,200,191.80,
True,200,196.14,
True,200,183.95,
True,200,194.19,
True,200,171.30,
True,200,210.02,
True,200,191.30,
True,200,201.93,
True,200,177.05,
True,200,175.70,
True,200,172.41,
True,200,176.89,
True,200,193.86,
True,200,173.33,
True,200,183.52,
True,200,185.91,
True,200,181.93,
True,200,180.65,
True,200,191.36,
True,200,187.91,
True,200,191.80,
True,200,183.89,
True,200,185.37,
True,200,192.61,
True,200,174.25,
True,200,178.01,
True,200,194.55,
True,200,200.85,
True,200,166.96,
True,200,170.87,
True,200,169.64,
True,200,164.89,
True,200,188.44,
True,200,169.30,
True,200,174.62,
True,200,173.03,
True,200,181.10,
True,200,191.13,
True,200,177.57,
True,200,186.11,
True,200,189.88,
True,200,185.46,
True,200,182.79,
True,200,185.72,
True,200,194.32,
True,200,175.56,
True,200,194.75,
True,200,173.08,
True,200,158.58,
True,200,166.60,
True,200,177.29,
True,200,163.80,
True,200,178.08,
True,200,177.02,
True,200,182.51,
True,200,188.30,
True,200,173.69,
True,200,174.66,
True,200,205.29,
True,200,179.84,
True,200,176.39,
True,200,186.52,
True,200,185.81,
True,200,187.38,
True,200,188.89,
True,200,186.97,
True,200,192.20,
True,200,171.57,
True,200,155.19,
True,200,172.16,
True,200,187.66,
True,200,175.17,
True,200,187.86,
True,200,188.49,
True,200,175.90,
True,200,173.75,
True,200,184.96,
True,200,185.80,
True,200,186.00,
True,200,181.00,
True,200,186.86,
True,200,188.25,
True,200,161.87,
True,200,183.84,
True,200,185.74,
True,200,189.09,
True,200,190.74,
True,200,191.68,
True,200,194.87,
True,200,184.78,
True,200,165.29,
True,200,156.90,
True,200,162.51,
True,200,187.40,
True,200,182.09,
True,200,173.09,
True,200,182.64,
True,200,190.16,
True,200,177.82,
True,200,166.50,
True,200,185.68,
True,200,183.38,
True,200,193.20,
True,200,189.71,
True,200,185.06,
True,200,183.97,
True,200,199.40,
True,200,181.98,
True,200,162.90,
True,200,189.36,
True,200,174.10,
True,200,182.46,
True,200,179.40,
True,200,190.01,
True,200,163.87,
True,200,158.25,
True,200,172.40,
True,200,173.36,
True,200,188.47,
True,200,180.28,
True,200,167.86,
True,200,149.26,
True,200,169.06,
True,200,187.42,
True,200,180.03,
True,200,186.27,
True,200,185.80,
True,200,149.18,
True,200,182.11,
True,200,196.24,
True,200,167.17,
True,200,154.07,
True,200,177.64,
True,200,164.47,
True,200,163.97,
True,200,173.33,
True,200,191.87,
True,200,165.28,
True,200,190.18,
True,200,167.30,
True,200,189.77,
True,200,163.00,
True,200,166.92,
True,200,176.66,
True,200,172.04,
True,200,185.82,
True,200,184.89,
True,200,180.35,
True,200,188.55,
True,200,183.92,
True,200,179.92,
True,200,182.23,
True,200,182.10,
True,200,158.47,
True,200,178.31,
True,200,176.84,
True,200,181.14,
True,200,179.55,
True,200,181.43,
True,200,178.41,
True,200,177.30,
True,200,162.28,
True,200,167.67,
True,200,180.20,
True,200,157.69,
True,200,185.30,
True,200,183.38,
True,200,185.14,
True,200,180.46,
True,200,176.36,
True,200,189.46,
True,200,185.17,
True,200,181.55,
True,200,177.64,
True,200,170.74,
True,200,155.96,
True,200,188.39,
True,200,176.08,
True,200,166.56,
True,200,178.43,
True,200,180.95,
True,200,183.04,
True,200,171.68,
True,200,177.36,
True,200,176.05,
True,200,173.04,
True,200,181.25,
True,200,182.33,
True,200,190.43,
True,200,183.42,
True,200,184.58,
True,200,186.62,
True,200,191.51,
True,200,177.84,
True,200,186.87,
True,200,168.60,
True,200,179.28,
True,200,175.23,
True,200,180.24,
True,200,185.16,
True,200,183.14,
True,200,197.77,
True,200,179.13,
True,200,183.08,
True,200,170.09,
True,200,196.66,
True,200,181.57,
True,200,172.07,
True,200,175.29,
True,200,173.37,
True,200,192.62,
True,200,175.02,
True,200,174.60,
True,200,166.39,
True,200,171.09,
True,200,193.10,
True,200,177.38,
True,200,177.77,
True,200,177.94,
True,200,197.23,
True,200,181.05,
True,200,181.75,
True,200,193.60,
True,200,183.57,
True,200,183.66,
True,200,184.29,
True,200,182.87,
True,200,181.26,
True,200,197.25,
True,200,183.37,
True,200,182.81,
True,200,188.05,
True,200,197.53,
True,200,165.74,
True,200,161.23,
True,200,168.65,
True,200,173.49,
True,200,203.65,
True,200,174.77,
True,200,196.38,
True,200,178.96,
True,200,165.73,
True,200,174.51,
True,200,173.47,
True,200,180.46,
True,200,181.13,
True,200,183.63,
True,200,183.34,
True,200,175.95,
True,200,177.87,
True,200,184.66,
True,200,199.03,
True,200,198.96,
True,200,177.33,
True,200,165.32,
True,200,167.28,
True,200,169.13,
True,200,174.72,
True,200,176.71,
True,200,181.23,
True,200,190.75,
True,200,188.97,
True,200,177.57,
True,200,207.13,
True,200,171.19,
True,200,181.40,
True,200,179.76,
True,200,188.14,
True,200,183.86,
True,200,181.18,
True,200,207.24,
True,200,182.32,
True,200,178.97,
True,200,185.98,
True,200,166.92,
True,200,167.13,
True,200,196.06,
True,200,189.14,
True,200,181.01,
True,200,161.86,
True,200,178.27,
True,200,180.39,
True,200,175.42,
True,200,175.07,
True,200,174.93,
True,200,182.07,
True,200,174.77,
True,200,183.36,
True,200,183.67,
True,200,182.75,
True,200,190.77,
True,200,184.17,
True,200,172.74,
True,200,167.63,
True,200,164.76,
True,200,175.49,
True,200,169.02,
True,200,175.44,
True,200,181.93,
True,200,193.71,
True,200,182.77,
True,200,182.29,
True,200,168.26,
True,200,175.18,
True,200,190.22,
True,200,180.16,
True,200,180.28,
True,200,176.11,
True,200,174.84,
True,200,183.68,
True,200,183.46,
True,200,174.60,
True,200,173.13,
True,200,157.89,
True,200,167.80,
True,200,161.77,
True,200,171.31,
True,200,167.74,
True,200,184.26,
True,200,183.86,
True,200,181.12,
True,200,179.10,
True,200,171.25,
True,200,177.89,
True,200,170.28,
True,200,177.07,
True,200,171.88,
True,200,183.53,
True,200,182.19,
True,200,185.41,
True,200,187.64,
True,200,165.53,
True,200,161.48,
True,200,173.87,
True,200,170.05,
True,200,172.50,
True,200,164.97,
True,200,167.83,
True,200,174.82,
True,200,176.95,
True,200,179.55,
True,200,175.60,
True,200,175.63,
True,200,185.89,
True,200,181.97,
True,200,174.24,
True,200,167.72,
True,200,163.17,
True,200,181.15,
True,200,179.08,
True,200,181.05,
True,200,187.34,
True,200,199.25,
True,200,181.65,
True,200,178.27,
True,200,164.12,
True,200,164.00,
True,200,189.26,
True,200,173.45,
True,200,196.52,
True,200,174.55,
True,200,201.57,
True,200,172.69,
True,200,186.24,
True,200,164.11,
True,200,192.14,
True,200,167.47,
True,200,177.36,
True,200,194.97,
True,200,183.28,
True,200,174.35,
True,200,178.72,
True,200,178.68,
True,200,185.15,
True,200,173.76,
True,200,165.88,
True,200,169.72,
True,200,167.82,
True,200,178.93,
True,200,196.64,
True,200,204.90,
True,200,171.42,
True,200,166.67,
True,200,186.90,
True,200,178.58,
True,200,201.03,
True,200,195.67,
True,200,183.24,
True,200,180.30,
True,200,183.91,
True,200,189.07,
True,200,180.90,
True,200,188.05,
True,200,182.61,
True,200,172.31,
True,200,152.84,
True,200,156.41,
True,200,155.23,
True,200,166.11,
True,200,169.09,
True,200,159.43,
True,200,171.43,
True,200,162.60,
True,200,173.26,
True,200,175.96,
True,200,171.23,
True,200,171.65,
True,200,185.93,
True,200,186.03,
True,200,191.81,
True,200,186.23,
True,200,189.90,
True,200,185.62,
True,200,191.45,
True,200,177.35,
True,200,190.14,
True,200,175.96,
True,200,197.54,
True,200,185.74,
True,200,173.20,
True,200,176.18,
True,200,169.54,
True,200,172.60,
True,200,197.53,
True,200,191.87,
True,200,174.21,
True,200,172.18,
True,200,167.71,
True,200,175.42,
True,200,183.06,
True,200,195.64,
True,200,187.51,
True,200,185.16,
True,200,184.15,
True,200,187.27,
True,200,188.13,
True,200,163.38,
True,200,172.26,
True,200,160.48,
True,200,170.89,
True,200,167.37,
True,200,163.31,
True,200,165.83,
True,200,163.02,
True,200,151.73,
True,200,160.17,
True,200,166.06,
True,200,152.68,
