ok,status,latency_ms,error
True,200,20.33,
True,200,38.83,
True,200,12.36,
True,200,21.50,
True,200,47.35,
True,200,34.30,
True,200,30.29,
True,200,31.56,
True,200,35.88,
True,200,23.81,
True,200,23.36,
True,200,28.31,
True,200,26.18,
True,200,24.23,
True,200,10.18,
True,200,30.54,
True,200,36.45,
True,200,13.83,
True,200,35.71,
True,200,13.69,
True,200,15.69,
True,200,43.78,
True,200,41.78,
True,200,49.44,
True,200,41.86,
True,200,47.22,
True,200,58.22,
True,200,31.84,
True,200,51.55,
True,200,55.15,
True,200,57.03,
True,200,45.84,
True,200,20.73,
True,200,59.31,
True,200,40.02,
True,200,31.73,
True,200,51.75,
True,200,53.68,
True,200,42.99,
True,200,48.57,
True,200,40.22,
True,200,73.21,
True,200,46.24,
True,200,68.71,
True,200,41.35,
True,200,38.05,
True,200,38.06,
True,200,47.57,
True,200,41.16,
True,200,47.89,
True,200,45.44,
True,200,52.62,
True,200,41.49,
True,200,47.88,
True,200,35.10,
True,200,44.21,
True,200,55.09,
True,200,39.40,
True,200,32.72,
True,200,33.41,
True,200,61.32,
True,200,42.84,
True,200,39.93,
True,200,65.68,
True,200,57.99,
True,200,41.39,
True,200,50.54,
True,200,39.67,
True,200,37.09,
True,200,38.63,
True,200,39.64,
True,200,71.56,
True,200,38.96,
True,200,33.74,
True,200,24.78,
True,200,32.87,
True,200,46.81,
True,200,55.49,
True,200,43.31,
True,200,53.13,
True,200,55.91,
True,200,57.96,
True,200,31.11,
True,200,53.37,
True,200,38.93,
True,200,45.49,
True,200,43.68,
True,200,54.99,
True,200,28.31,
True,200,49.44,
True,200,34.77,
True,200,43.08,
True,200,27.50,
True,200,54.99,
True,200,55.43,
True,200,46.99,
True,200,48.71,
True,200,48.81,
True,200,49.44,
True,200,27.73,
True,200,63.99,
True,200,60.22,
True,200,44.70,
True,200,35.03,
True,200,31.16,
True,200,49.48,
True,200,33.97,
True,200,48.07,
True,200,32.28,
True,200,40.79,
True,200,53.95,
True,200,34.39,
True,200,52.83,
True,200,41.47,
True,200,57.38,
True,200,42.70,
True,200,33.57,
True,200,27.20,
True,200,62.76,
True,200,43.38,
True,200,48.82,
True,200,59.07,
True,200,44.40,
True,200,44.16,
True,200,37.46,
True,200,54.46,
True,200,49.84,
True,200,53.52,
True,200,40.92,
True,200,49.64,
True,200,55.45,
True,200,32.57,
True,200,37.55,
True,200,40.28,
True,200,45.84,
True,200,52.82,
True,200,37.67,
True,200,34.42,
True,200,39.20,
True,200,46.36,
True,200,45.33,
True,200,61.39,
True,200,34.21,
True,200,67.56,
True,200,60.07,
True,200,36.68,
True,200,55.18,
True,200,35.67,
True,200,49.24,
True,200,41.73,
True,200,52.18,
True,200,32.60,
True,200,53.88,
True,200,60.69,
True,200,55.93,
True,200,43.70,
True,200,40.85,
True,200,38.46,
True,200,44.34,
True,200,51.77,
True,200,51.49,
True,200,38.55,
True,200,50.54,
True,200,36.69,
True,200,32.49,
True,200,64.11,
True,200,47.91,
True,200,27.20,
True,200,41.41,
True,200,52.06,
True,200,31.75,
True,200,40.54,
True,200,32.70,
True,200,40.82,
True,200,46.55,
True,200,35.51,
True,200,57.33,
True,200,37.15,
True,200,58.02,
True,200,61.63,
True,200,43.40,
True,200,39.16,
True,200,26.39,
True,200,45.33,
True,200,45.43,
True,200,42.02,
True,200,49.17,
True,200,49.35,
True,200,67.38,
True,200,23.98,
True,200,60.02,
True,200,42.41,
True,200,43.55,
True,200,50.79,
True,200,50.56,
True,200,46.95,
True,200,39.08,
True,200,38.47,
True,200,45.59,
True,200,38.79,
True,200,42.05,
True,200,64.25,
True,200,48.47,
True,200,29.38,
True,200,53.71,
True,200,46.62,
True,200,44.87,
True,200,48.26,
True,200,44.76,
True,200,36.13,
True,200,57.16,
True,200,47.85,
True,200,36.47,
True,200,35.62,
True,200,36.16,
True,200,47.23,
True,200,37.00,
True,200,42.04,
True,200,48.26,
True,200,46.59,
True,200,43.14,
True,200,32.91,
True,200,71.08,
True,200,30.55,
True,200,42.16,
True,200,43.60,
True,200,55.63,
True,200,52.43,
True,200,49.55,
True,200,41.25,
True,200,53.95,
True,200,30.55,
True,200,60.46,
True,200,30.25,
True,200,43.25,
True,200,56.50,
True,200,49.98,
True,200,48.73,
True,200,33.98,
True,200,62.90,
True,200,46.05,
True,200,53.55,
True,200,38.96,
True,200,29.53,
True,200,40.60,
True,200,44.00,
True,200,36.00,
True,200,45.84,
True,200,65.67,
True,200,46.16,
True,200,44.25,
True,200,37.44,
True,200,40.15,
True,200,45.31,
True,200,41.96,
True,200,50.97,
True,200,29.70,
True,200,47.09,
True,200,40.01,
True,200,40.35,
True,200,49.28,
True,200,38.49,
True,200,55.81,
True,200,45.73,
True,200,42.47,
True,200,29.07,
True,200,43.32,
True,200,53.12,
True,200,43.26,
True,200,32.08,
True,200,31.49,
True,200,75.98,
True,200,41.75,
True,200,50.35,
True,200,36.47,
True,200,42.42,
True,200,33.28,
True,200,54.20,
True,200,41.87,
True,200,69.17,
True,200,38.88,
True,200,50.33,
True,200,33.13,
True,200,43.65,
True,200,31.54,
True,200,60.73,
True,200,59.07,
True,200,38.65,
True,200,45.20,
True,200,52.87,
True,200,55.97,
True,200,37.13,
True,200,50.30,
True,200,39.29,
True,200,25.63,
True,200,43.70,
True,200,48.25,
True,200,68.23,
True,200,42.11,
True,200,38.04,
True,200,54.32,
True,200,38.86,
