ok,status,latency_ms,error
True,200,62.43,
True,200,40.79,
True,200,64.30,
True,200,37.63,
True,200,62.24,
True,200,62.20,
True,200,69.91,
True,200,64.00,
True,200,37.35,
True,200,57.97,
True,200,78.35,
True,200,79.49,
True,200,81.55,
True,200,75.93,
True,200,59.10,
True,200,52.55,
True,200,91.26,
True,200,54.01,
True,200,73.46,
True,200,78.01,
True,200,34.21,
True,200,46.19,
True,200,50.95,
True,200,46.82,
True,200,41.68,
True,200,43.81,
True,200,42.42,
True,200,46.62,
True,200,46.15,
True,200,38.19,
True,200,38.82,
True,200,53.69,
True,200,63.83,
True,200,59.56,
True,200,59.05,
True,200,60.04,
True,200,59.75,
True,200,53.96,
True,200,60.28,
True,200,91.53,
True,200,38.57,
True,200,47.81,
True,200,38.97,
True,200,47.74,
True,200,43.38,
True,200,31.84,
True,200,47.70,
True,200,47.47,
True,200,52.52,
True,200,62.59,
True,200,54.29,
True,200,54.23,
True,200,44.84,
True,200,45.18,
True,200,64.90,
True,200,63.70,
True,200,39.88,
True,200,43.34,
True,200,73.42,
True,200,55.92,
True,200,38.31,
True,200,47.56,
True,200,38.49,
True,200,50.13,
True,200,44.47,
True,200,57.35,
True,200,43.38,
True,200,39.76,
True,200,49.88,
True,200,45.49,
True,200,40.15,
True,200,51.20,
True,200,53.44,
True,200,41.70,
True,200,47.19,
True,200,69.69,
True,200,75.40,
True,200,53.85,
True,200,53.00,
True,200,42.21,
True,200,63.11,
True,200,38.90,
True,200,47.89,
True,200,44.03,
True,200,58.30,
True,200,43.43,
True,200,46.95,
True,200,53.22,
True,200,34.59,
True,200,54.16,
True,200,42.69,
True,200,72.15,
True,200,43.75,
True,200,44.96,
True,200,50.42,
True,200,28.44,
True,200,51.69,
True,200,46.68,
True,200,73.87,
True,200,52.57,
True,200,58.19,
True,200,40.92,
True,200,54.45,
True,200,57.29,
True,200,45.07,
True,200,53.40,
True,200,60.29,
True,200,51.65,
True,200,55.68,
True,200,47.61,
True,200,45.89,
True,200,57.94,
True,200,42.23,
True,200,57.68,
True,200,45.25,
True,200,48.28,
True,200,52.15,
True,200,62.19,
True,200,46.91,
True,200,59.02,
True,200,43.37,
True,200,53.16,
True,200,40.35,
True,200,42.89,
True,200,42.46,
True,200,55.11,
True,200,37.69,
True,200,50.29,
True,200,52.56,
True,200,58.68,
True,200,52.27,
