ok,status,latency_ms,error
True,200,175.47,
True,200,180.15,
True,200,179.49,
True,200,178.92,
True,200,167.31,
True,200,178.63,
True,200,180.43,
True,200,170.17,
True,200,172.14,
True,200,178.67,
True,200,188.74,
True,200,191.53,
True,200,178.93,
True,200,191.52,
True,200,185.42,
True,200,179.27,
True,200,185.12,
True,200,186.20,
True,200,187.10,
True,200,186.13,
True,200,178.05,
True,200,187.91,
True,200,179.38,
True,200,177.49,
True,200,190.87,
True,200,177.26,
True,200,191.32,
True,200,193.36,
True,200,194.28,
True,200,182.00,
True,200,173.36,
True,200,171.65,
True,200,189.29,
True,200,200.92,
True,200,186.80,
True,200,200.44,
True,200,194.11,
True,200,176.07,
True,200,186.76,
True,200,183.18,
True,200,154.17,
True,200,168.35,
True,200,160.71,
True,200,172.05,
True,200,178.51,
True,200,188.25,
True,200,184.76,
True,200,185.16,
True,200,173.81,
True,200,178.45,
True,200,175.62,
True,200,183.58,
True,200,175.46,
True,200,178.07,
True,200,185.99,
True,200,182.45,
True,200,184.74,
True,200,180.26,
True,200,189.11,
True,200,192.30,
True,200,160.19,
True,200,163.37,
True,200,164.27,
True,200,176.20,
True,200,167.79,
True,200,181.26,
True,200,175.22,
True,200,178.36,
True,200,176.76,
True,200,185.23,
True,200,188.65,
True,200,180.62,
True,200,182.31,
True,200,185.32,
True,200,180.35,
True,200,191.14,
True,200,192.14,
True,200,183.29,
True,200,186.57,
True,200,208.95,
True,200,165.77,
True,200,161.57,
True,200,181.97,
True,200,185.00,
True,200,166.65,
True,200,171.76,
True,200,197.96,
True,200,174.64,
True,200,193.72,
True,200,192.39,
True,200,174.84,
True,200,166.83,
True,200,193.49,
True,200,170.39,
True,200,174.98,
True,200,179.58,
True,200,183.27,
True,200,189.18,
True,200,170.82,
True,200,194.31,
True,200,153.76,
True,200,156.60,
True,200,159.53,
True,200,196.81,
True,200,176.40,
True,200,176.63,
True,200,172.03,
True,200,175.95,
True,200,171.12,
True,200,172.67,
True,200,195.98,
True,200,201.82,
True,200,178.26,
True,200,184.52,
True,200,174.97,
True,200,181.13,
True,200,180.26,
True,200,179.54,
True,200,171.44,
True,200,182.01,
True,200,155.02,
True,200,150.66,
True,200,165.08,
True,200,171.46,
True,200,174.59,
True,200,196.79,
True,200,181.10,
True,200,176.73,
True,200,181.11,
True,200,171.38,
True,200,187.41,
True,200,198.91,
True,200,179.60,
True,200,178.66,
True,200,174.68,
True,200,186.49,
True,200,178.42,
True,200,172.17,
True,200,182.32,
True,200,178.67,
True,200,185.66,
True,200,189.39,
True,200,153.47,
True,200,163.73,
True,200,177.14,
True,200,189.32,
True,200,174.64,
True,200,176.24,
True,200,177.55,
True,200,169.32,
True,200,164.58,
True,200,174.88,
True,200,170.90,
True,200,181.36,
True,200,162.19,
True,200,182.22,
True,200,173.75,
True,200,181.67,
True,200,194.07,
True,200,176.93,
True,200,184.41,
True,200,184.04,
True,200,165.36,
True,200,191.73,
True,200,188.98,
True,200,161.75,
True,200,170.70,
True,200,169.98,
True,200,179.81,
True,200,178.01,
True,200,171.25,
True,200,181.63,
True,200,166.84,
True,200,172.26,
True,200,176.41,
True,200,187.99,
True,200,185.31,
True,200,192.04,
True,200,188.01,
True,200,185.08,
True,200,182.52,
True,200,158.03,
True,200,197.55,
True,200,169.84,
True,200,169.77,
True,200,176.95,
True,200,172.52,
True,200,172.16,
True,200,185.70,
True,200,190.17,
True,200,169.20,
True,200,174.74,
True,200,189.96,
True,200,177.16,
True,200,190.85,
True,200,171.33,
True,200,177.25,
True,200,205.94,
True,200,176.86,
True,200,174.89,
True,200,178.06,
True,200,160.05,
True,200,176.84,
True,200,151.34,
True,200,171.85,
True,200,161.39,
True,200,181.68,
True,200,186.96,
True,200,160.67,
True,200,170.02,
True,200,190.32,
True,200,176.11,
True,200,176.89,
True,200,186.96,
True,200,172.76,
True,200,184.82,
True,200,190.87,
True,200,191.05,
True,200,186.64,
True,200,165.84,
True,200,185.83,
True,200,169.60,
True,200,194.92,
True,200,189.49,
True,200,178.91,
True,200,162.35,
True,200,183.86,
True,200,171.18,
True,200,193.24,
True,200,170.51,
True,200,176.07,
True,200,156.48,
True,200,176.32,
True,200,182.55,
True,200,181.68,
True,200,179.48,
True,200,168.64,
True,200,191.60,
True,200,191.25,
True,200,181.59,
True,200,184.48,
True,200,170.52,
True,200,184.67,
True,200,167.77,
True,200,180.23,
True,200,188.73,
True,200,194.27,
True,200,192.61,
True,200,173.68,
True,200,171.34,
True,200,191.03,
True,200,173.01,
True,200,173.84,
True,200,165.21,
True,200,179.77,
True,200,180.39,
True,200,182.62,
True,200,186.15,
True,200,178.05,
True,200,185.72,
True,200,186.31,
True,200,167.80,
True,200,172.01,
True,200,150.41,
True,200,184.33,
True,200,169.06,
True,200,161.40,
True,200,178.93,
True,200,179.14,
True,200,178.99,
True,200,186.95,
True,200,168.34,
True,200,178.48,
True,200,166.91,
True,200,162.43,
True,200,178.27,
True,200,169.74,
True,200,174.63,
True,200,180.85,
True,200,177.06,
True,200,175.53,
True,200,191.06,
True,200,184.32,
True,200,194.08,
True,200,173.60,
True,200,181.92,
True,200,175.52,
True,200,187.06,
True,200,168.56,
True,200,178.40,
True,200,183.77,
True,200,165.25,
True,200,186.41,
True,200,176.71,
True,200,172.72,
True,200,170.83,
True,200,191.29,
True,200,198.05,
True,200,177.77,
True,200,171.11,
True,200,187.21,
True,200,176.38,
True,200,159.60,
True,200,181.63,
True,200,185.34,
True,200,200.34,
True,200,185.88,
True,200,168.33,
True,200,171.53,
True,200,176.91,
True,200,185.94,
True,200,173.80,
True,200,174.75,
True,200,157.75,
True,200,172.87,
True,200,174.10,
True,200,165.75,
True,200,176.35,
True,200,178.53,
True,200,181.78,
True,200,164.14,
True,200,174.57,
True,200,171.76,
True,200,185.95,
True,200,165.30,
True,200,164.93,
True,200,171.42,
True,200,176.01,
True,200,184.61,
True,200,173.14,
True,200,176.44,
True,200,162.69,
True,200,172.25,
True,200,178.65,
True,200,174.85,
True,200,178.82,
True,200,179.84,
True,200,183.55,
True,200,174.77,
True,200,177.73,
True,200,178.12,
True,200,163.94,
True,200,179.94,
True,200,158.40,
True,200,191.21,
True,200,159.04,
True,200,172.79,
True,200,167.30,
True,200,166.84,
True,200,182.05,
True,200,175.51,
True,200,172.21,
True,200,149.55,
True,200,171.63,
True,200,169.13,
True,200,169.02,
True,200,176.72,
True,200,194.38,
True,200,174.70,
True,200,174.42,
True,200,180.47,
True,200,178.67,
True,200,175.64,
True,200,173.13,
True,200,166.65,
True,200,185.01,
True,200,173.98,
True,200,171.42,
True,200,178.73,
True,200,181.58,
True,200,183.50,
True,200,173.53,
True,200,176.07,
True,200,161.60,
True,200,167.85,
True,200,163.49,
True,200,173.00,
True,200,164.37,
True,200,177.03,
True,200,173.62,
True,200,173.57,
True,200,172.90,
True,200,192.97,
True,200,152.91,
True,200,171.68,
True,200,178.60,
True,200,153.32,
True,200,169.29,
True,200,155.02,
True,200,175.60,
True,200,177.25,
True,200,178.45,
True,200,168.57,
True,200,198.71,
True,200,166.83,
True,200,177.12,
True,200,166.74,
True,200,168.66,
True,200,169.89,
True,200,195.64,
True,200,171.97,
True,200,188.53,
True,200,175.28,
True,200,155.78,
True,200,191.68,
True,200,176.86,
True,200,174.06,
True,200,171.63,
True,200,197.56,
True,200,171.49,
True,200,195.75,
True,200,175.32,
True,200,180.46,
True,200,174.21,
True,200,183.86,
True,200,161.69,
True,200,186.45,
True,200,175.80,
True,200,170.93,
True,200,175.75,
True,200,175.25,
True,200,194.08,
True,200,179.09,
True,200,181.14,
True,200,188.81,
True,200,181.50,
True,200,194.18,
True,200,167.79,
True,200,177.60,
True,200,180.58,
True,200,193.67,
True,200,180.04,
True,200,182.33,
True,200,185.13,
True,200,182.19,
True,200,173.20,
True,200,186.14,
True,200,181.13,
True,200,205.21,
True,200,182.82,
True,200,176.61,
True,200,186.30,
True,200,156.82,
True,200,191.17,
True,200,179.11,
True,200,170.29,
True,200,161.36,
True,200,171.49,
True,200,170.67,
True,200,172.33,
True,200,178.08,
True,200,187.13,
True,200,174.12,
True,200,165.65,
True,200,185.99,
True,200,198.46,
True,200,174.04,
True,200,179.06,
True,200,182.76,
True,200,165.52,
True,200,161.20,
True,200,196.67,
True,200,193.54,
True,200,162.47,
True,200,165.30,
True,200,187.34,
True,200,170.62,
True,200,183.89,
True,200,165.34,
True,200,174.85,
True,200,165.30,
True,200,177.86,
True,200,179.98,
True,200,177.17,
True,200,176.51,
True,200,176.18,
True,200,177.45,
True,200,174.63,
True,200,179.20,
True,200,184.09,
True,200,164.61,
True,200,174.40,
True,200,177.12,
True,200,164.98,
True,200,166.99,
True,200,191.99,
True,200,158.71,
True,200,161.18,
True,200,192.02,
True,200,169.27,
True,200,178.03,
True,200,152.10,
True,200,178.92,
True,200,177.31,
True,200,159.33,
True,200,175.26,
True,200,172.77,
True,200,176.85,
True,200,168.20,
True,200,176.25,
True,200,164.83,
True,200,185.03,
True,200,187.07,
True,200,170.40,
True,200,168.79,
True,200,165.44,
True,200,185.37,
True,200,173.69,
True,200,174.89,
True,200,171.93,
True,200,186.81,
True,200,157.99,
True,200,193.03,
True,200,192.93,
True,200,188.44,
True,200,172.56,
True,200,168.44,
True,200,169.38,
True,200,173.89,
True,200,185.97,
True,200,177.11,
True,200,184.05,
True,200,158.60,
True,200,197.22,
True,200,187.72,
True,200,165.73,
True,200,177.00,
True,200,177.88,
True,200,176.78,
True,200,156.52,
True,200,178.94,
True,200,179.30,
True,200,169.74,
True,200,180.84,
True,200,159.13,
True,200,175.15,
True,200,172.57,
True,200,187.79,
True,200,178.99,
True,200,178.46,
True,200,193.61,
True,200,187.99,
True,200,156.12,
True,200,169.83,
True,200,172.59,
True,200,182.25,
True,200,158.52,
True,200,162.53,
True,200,165.11,
True,200,165.36,
True,200,155.28,
True,200,167.39,
True,200,174.70,
True,200,170.12,
True,200,171.82,
True,200,180.34,
True,200,162.02,
True,200,163.70,
True,200,189.34,
True,200,182.40,
True,200,158.12,
True,200,181.83,
True,200,170.55,
True,200,188.37,
True,200,153.81,
True,200,162.24,
True,200,166.68,
True,200,168.83,
True,200,187.40,
True,200,151.64,
True,200,181.94,
True,200,174.62,
True,200,183.89,
True,200,177.56,
True,200,169.71,
True,200,189.55,
True,200,176.48,
True,200,172.28,
True,200,187.46,
True,200,176.57,
True,200,178.41,
True,200,169.61,
True,200,179.94,
True,200,187.67,
True,200,176.07,
True,200,173.73,
True,200,177.00,
True,200,175.50,
True,200,183.23,
True,200,176.56,
True,200,198.76,
True,200,174.26,
True,200,179.59,
True,200,174.41,
True,200,185.41,
True,200,170.22,
True,200,168.79,
True,200,178.21,
True,200,167.49,
True,200,168.40,
