ok,status,latency_ms,error
True,200,15.13,
True,200,26.52,
True,200,28.89,
True,200,15.53,
True,200,27.12,
True,200,28.63,
True,200,38.30,
True,200,29.13,
True,200,35.04,
True,200,22.25,
True,200,45.48,
True,200,16.37,
True,200,14.41,
True,200,28.12,
True,200,21.22,
True,200,30.53,
True,200,15.08,
True,200,25.11,
True,200,44.29,
True,200,50.58,
True,200,36.13,
True,200,41.16,
True,200,43.18,
True,200,57.58,
True,200,43.09,
True,200,46.73,
True,200,48.16,
True,200,61.51,
True,200,47.58,
True,200,44.27,
True,200,29.44,
True,200,47.95,
True,200,52.92,
True,200,47.60,
True,200,49.64,
True,200,32.52,
True,200,63.73,
True,200,42.67,
True,200,37.18,
True,200,45.77,
True,200,40.85,
True,200,33.43,
True,200,88.70,
True,200,79.61,
True,200,44.69,
True,200,32.94,
True,200,30.04,
True,200,30.74,
True,200,45.24,
True,200,41.44,
True,200,54.07,
True,200,50.97,
True,200,37.59,
True,200,26.91,
True,200,46.86,
True,200,73.11,
True,200,35.63,
True,200,53.44,
True,200,49.16,
True,200,48.91,
True,200,55.03,
True,200,53.25,
True,200,76.72,
True,200,37.93,
True,200,44.61,
True,200,56.75,
True,200,44.29,
True,200,27.57,
True,200,31.39,
True,200,39.70,
True,200,43.36,
True,200,42.73,
True,200,35.90,
True,200,43.21,
True,200,42.81,
True,200,68.59,
True,200,63.83,
True,200,53.80,
True,200,38.19,
True,200,45.07,
True,200,49.29,
True,200,35.06,
True,200,33.73,
True,200,65.13,
True,200,27.81,
True,200,38.34,
True,200,34.54,
True,200,45.57,
True,200,52.05,
True,200,64.49,
True,200,56.01,
True,200,53.11,
True,200,46.26,
True,200,53.44,
True,200,35.51,
True,200,39.24,
True,200,66.03,
True,200,44.57,
True,200,29.92,
True,200,63.36,
True,200,41.22,
True,200,54.05,
True,200,66.15,
True,200,51.72,
True,200,38.89,
True,200,50.61,
True,200,58.58,
True,200,48.73,
True,200,58.75,
True,200,48.84,
True,200,39.50,
True,200,47.88,
True,200,28.47,
True,200,50.16,
True,200,47.02,
True,200,49.74,
True,200,44.19,
True,200,36.21,
True,200,66.87,
True,200,54.58,
True,200,39.59,
True,200,41.17,
True,200,37.04,
True,200,40.88,
True,200,25.57,
True,200,46.93,
True,200,53.04,
True,200,44.68,
True,200,40.29,
True,200,47.32,
True,200,45.03,
True,200,44.82,
True,200,38.89,
True,200,32.69,
True,200,54.98,
True,200,54.23,
True,200,36.53,
True,200,61.04,
True,200,48.55,
True,200,37.59,
True,200,57.71,
True,200,47.24,
True,200,54.95,
True,200,40.13,
True,200,37.74,
True,200,53.79,
True,200,46.40,
True,200,47.09,
True,200,57.16,
True,200,48.45,
True,200,52.16,
True,200,30.87,
True,200,31.14,
True,200,46.10,
True,200,46.35,
True,200,34.05,
True,200,42.45,
True,200,37.77,
True,200,45.99,
True,200,54.05,
True,200,49.45,
True,200,53.15,
True,200,50.25,
True,200,48.82,
True,200,28.35,
True,200,39.18,
True,200,33.27,
True,200,49.34,
True,200,44.66,
True,200,63.81,
True,200,39.98,
True,200,51.37,
True,200,62.98,
True,200,46.33,
True,200,47.57,
True,200,39.64,
True,200,38.25,
True,200,36.38,
True,200,51.11,
True,200,50.99,
True,200,46.15,
True,200,46.01,
True,200,36.95,
True,200,34.15,
True,200,45.00,
True,200,51.18,
True,200,49.44,
True,200,44.79,
True,200,33.36,
True,200,35.87,
True,200,48.93,
True,200,43.59,
True,200,38.02,
True,200,51.92,
