ok,status,latency_ms,error
True,200,30.08,
True,200,44.53,
True,200,31.29,
True,200,15.90,
True,200,14.44,
True,200,38.57,
True,200,21.85,
True,200,33.66,
True,200,47.66,
True,200,32.91,
True,200,12.68,
True,200,28.49,
True,200,25.85,
True,200,15.04,
True,200,23.81,
True,200,26.05,
True,200,11.08,
True,200,27.51,
True,200,24.96,
True,200,37.22,
True,200,56.33,
True,200,43.34,
True,200,52.47,
True,200,53.11,
True,200,34.07,
True,200,55.08,
True,200,36.81,
True,200,43.16,
True,200,47.77,
True,200,63.09,
True,200,65.27,
True,200,51.30,
True,200,23.62,
True,200,54.02,
True,200,31.43,
True,200,59.13,
True,200,75.03,
True,200,47.68,
True,200,48.81,
True,200,30.48,
True,200,35.07,
True,200,39.71,
True,200,44.10,
True,200,45.77,
True,200,45.72,
True,200,54.90,
True,200,30.15,
True,200,83.12,
True,200,39.56,
True,200,40.42,
True,200,38.19,
True,200,55.93,
True,200,49.24,
True,200,46.56,
True,200,54.25,
True,200,49.35,
True,200,56.04,
True,200,51.14,
True,200,52.57,
True,200,31.26,
True,200,44.18,
True,200,40.05,
True,200,39.98,
True,200,36.83,
True,200,43.99,
True,200,33.53,
True,200,49.69,
True,200,35.93,
True,200,55.82,
True,200,52.52,
True,200,47.57,
True,200,52.25,
True,200,51.71,
True,200,49.71,
True,200,44.33,
True,200,36.09,
True,200,31.70,
True,200,49.97,
True,200,25.30,
True,200,65.70,
True,200,60.61,
True,200,43.05,
True,200,39.59,
True,200,58.71,
True,200,42.24,
True,200,55.63,
True,200,49.02,
True,200,58.75,
True,200,43.88,
True,200,60.48,
True,200,57.83,
True,200,57.03,
True,200,37.36,
True,200,59.67,
True,200,47.96,
True,200,61.36,
True,200,44.93,
True,200,46.72,
True,200,36.48,
True,200,58.32,
True,200,38.59,
True,200,53.46,
True,200,32.70,
True,200,57.37,
True,200,36.66,
True,200,55.75,
True,200,33.76,
True,200,45.70,
True,200,46.96,
True,200,41.14,
True,200,36.55,
True,200,56.33,
True,200,52.64,
True,200,58.92,
True,200,54.78,
True,200,80.41,
True,200,38.71,
True,200,56.52,
True,200,65.35,
True,200,27.81,
True,200,51.71,
True,200,28.93,
True,200,49.05,
True,200,43.08,
True,200,44.06,
True,200,70.51,
True,200,47.48,
True,200,53.10,
True,200,40.62,
True,200,53.46,
True,200,55.76,
True,200,55.27,
True,200,41.35,
True,200,63.04,
True,200,46.69,
True,200,45.26,
True,200,55.57,
True,200,41.62,
True,200,74.68,
True,200,33.50,
True,200,45.73,
True,200,43.82,
True,200,32.97,
True,200,34.24,
True,200,60.04,
True,200,61.65,
True,200,58.81,
True,200,54.00,
True,200,45.69,
True,200,51.77,
True,200,30.29,
True,200,66.41,
True,200,49.29,
True,200,77.62,
True,200,65.35,
True,200,34.04,
True,200,49.20,
True,200,48.60,
True,200,70.44,
True,200,49.87,
True,200,64.22,
True,200,31.97,
True,200,59.03,
True,200,36.85,
True,200,59.34,
True,200,28.57,
True,200,53.83,
True,200,44.30,
True,200,57.95,
True,200,54.52,
True,200,40.96,
True,200,43.29,
True,200,46.08,
True,200,64.50,
True,200,56.60,
True,200,40.11,
True,200,46.56,
True,200,36.87,
True,200,41.57,
True,200,37.17,
True,200,52.12,
True,200,55.57,
True,200,49.00,
True,200,44.81,
True,200,37.62,
True,200,51.69,
True,200,50.30,
True,200,26.25,
True,200,35.92,
True,200,39.87,
True,200,42.25,
True,200,58.78,
True,200,61.14,
True,200,52.22,
True,200,62.88,
True,200,63.12,
True,200,34.49,
True,200,50.88,
True,200,57.14,
True,200,32.86,
True,200,41.37,
True,200,74.79,
True,200,31.74,
True,200,49.43,
True,200,59.69,
True,200,45.49,
True,200,55.63,
True,200,43.59,
True,200,48.98,
True,200,62.68,
True,200,35.37,
True,200,49.74,
True,200,55.79,
True,200,70.35,
True,200,77.11,
True,200,69.48,
True,200,40.10,
True,200,48.04,
True,200,54.14,
True,200,52.40,
True,200,37.75,
True,200,36.81,
True,200,50.58,
True,200,46.89,
True,200,57.94,
True,200,44.69,
True,200,80.56,
True,200,44.17,
True,200,61.30,
True,200,65.85,
True,200,31.46,
True,200,38.05,
True,200,38.65,
True,200,49.25,
True,200,45.70,
True,200,82.48,
True,200,43.00,
True,200,64.06,
True,200,43.88,
True,200,64.56,
True,200,51.05,
True,200,49.59,
True,200,47.72,
True,200,65.00,
True,200,42.87,
True,200,62.99,
True,200,46.29,
True,200,32.56,
True,200,55.75,
True,200,57.87,
True,200,62.54,
True,200,53.23,
True,200,57.08,
True,200,48.11,
True,200,32.00,
True,200,75.20,
True,200,54.38,
True,200,38.85,
True,200,42.62,
True,200,38.83,
True,200,36.77,
True,200,60.88,
True,200,34.95,
True,200,42.66,
True,200,69.95,
True,200,45.08,
True,200,42.81,
True,200,30.62,
True,200,52.79,
True,200,69.17,
True,200,62.68,
True,200,36.86,
True,200,45.75,
True,200,52.55,
True,200,37.48,
True,200,35.35,
True,200,56.83,
True,200,65.98,
True,200,42.43,
True,200,43.75,
True,200,65.68,
True,200,48.76,
True,200,36.23,
True,200,30.60,
True,200,53.66,
True,200,71.66,
True,200,47.26,
True,200,47.62,
True,200,46.40,
True,200,48.54,
True,200,41.54,
True,200,44.79,
True,200,55.75,
True,200,28.43,
True,200,47.37,
True,200,39.49,
True,200,40.54,
True,200,68.21,
True,200,56.45,
True,200,42.15,
True,200,51.33,
True,200,50.00,
True,200,44.13,
True,200,51.25,
True,200,59.06,
True,200,56.15,
True,200,44.12,
True,200,35.98,
True,200,49.40,
True,200,68.95,
True,200,40.79,
True,200,47.23,
True,200,35.82,
True,200,52.83,
True,200,50.47,
True,200,40.15,
True,200,32.05,
True,200,46.50,
True,200,45.29,
True,200,43.49,
True,200,48.79,
True,200,57.71,
True,200,40.10,
True,200,36.52,
True,200,31.01,
True,200,62.28,
True,200,40.31,
True,200,42.76,
True,200,55.56,
True,200,47.61,
True,200,45.18,
True,200,35.86,
True,200,54.14,
True,200,35.81,
True,200,54.69,
True,200,36.82,
True,200,50.90,
True,200,44.82,
True,200,45.17,
True,200,46.69,
True,200,56.29,
True,200,48.26,
True,200,39.88,
True,200,31.25,
True,200,51.93,
True,200,49.94,
True,200,39.87,
True,200,51.93,
True,200,40.24,
True,200,35.72,
True,200,53.01,
True,200,47.98,
True,200,53.79,
True,200,35.17,
True,200,56.00,
True,200,50.75,
True,200,42.53,
True,200,34.12,
True,200,37.18,
True,200,68.28,
True,200,53.73,
True,200,40.27,
True,200,41.94,
True,200,57.03,
True,200,43.47,
True,200,44.18,
True,200,53.43,
True,200,38.83,
True,200,40.47,
True,200,51.59,
True,200,31.43,
True,200,43.22,
True,200,41.49,
True,200,38.44,
True,200,38.73,
True,200,45.95,
True,200,40.80,
True,200,59.90,
True,200,37.81,
True,200,58.05,
True,200,74.11,
True,200,35.79,
True,200,48.48,
True,200,21.84,
True,200,26.97,
True,200,58.42,
True,200,64.74,
True,200,42.14,
True,200,31.06,
True,200,34.76,
True,200,42.66,
True,200,55.94,
True,200,48.32,
True,200,49.00,
True,200,54.67,
True,200,40.31,
True,200,50.98,
True,200,64.09,
True,200,42.20,
True,200,55.04,
True,200,42.28,
True,200,33.24,
True,200,28.82,
True,200,43.32,
True,200,31.21,
True,200,52.95,
True,200,37.13,
True,200,37.23,
True,200,52.22,
True,200,67.76,
True,200,43.99,
True,200,45.36,
True,200,38.09,
True,200,49.89,
True,200,65.94,
True,200,55.92,
True,200,46.34,
True,200,43.79,
True,200,30.60,
True,200,35.38,
True,200,48.83,
True,200,50.45,
True,200,37.69,
True,200,52.88,
True,200,37.13,
True,200,58.51,
True,200,38.76,
True,200,43.66,
True,200,36.02,
True,200,56.20,
True,200,43.43,
True,200,46.38,
True,200,58.76,
True,200,50.14,
True,200,45.99,
True,200,33.60,
True,200,35.79,
True,200,48.33,
True,200,54.23,
True,200,36.43,
True,200,39.44,
True,200,50.38,
True,200,33.75,
True,200,39.47,
True,200,28.07,
True,200,48.73,
True,200,62.35,
True,200,38.59,
True,200,47.41,
True,200,24.88,
True,200,61.43,
True,200,41.31,
