endpoint,version,run,concurrency,requests,throughput_rps,avg_ms,p95_ms,failed,error_rate_pct,cpu_avg,cpu_peak,rss_avg_mb,rss_peak_mb,raw_file,metrics_file
admin_login,mono,1,20,600,99.79,181.8,201.03,0,0.0,1581.5,1911.2,156.66,179.73,artifacts/load/perf-compare-local-20260903-160443\mono-admin_login-run1-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_login-run1-metrics.csv
admin_login,msa,1,20,600,99.84,182.09,203.92,0,0.0,1557.73,1916.4,156.12,198.56,artifacts/load/perf-compare-local-20260903-160443\msa-admin_login-run1-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_login-run1-metrics.csv
admin_login,mono,2,20,600,99.84,179.71,198.43,0,0.0,1515.5,1867.5,179.66,181.56,artifacts/load/perf-compare-local-20260903-160443\mono-admin_login-run2-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_login-run2-metrics.csv
admin_login,msa,2,20,600,99.83,177.17,194.08,0,0.0,1530.55,1885.5,219.58,225.14,artifacts/load/perf-compare-local-20260903-160443\msa-admin_login-run2-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_login-run2-metrics.csv
admin_login,mono,3,20,600,99.82,179.03,195.59,0,0.0,1539.83,1876.7,181.55,181.56,artifacts/load/perf-compare-local-20260903-160443\mono-admin_login-run3-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_login-run3-metrics.csv
admin_login,msa,3,20,600,99.82,178.04,195.31,0,0.0,1539.58,1869.0,225.22,225.34,artifacts/load/perf-compare-local-20260903-160443\msa-admin_login-run3-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_login-run3-metrics.csv
admin_users,mono,1,20,600,297.55,49.31,69.41,0,0.0,71.15,142.3,188.25,194.96,artifacts/load/perf-compare-local-20260903-160443\mono-admin_users-run1-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_users-run1-metrics.csv
admin_users,msa,1,20,600,297.27,46.37,64.45,0,0.0,56.7,113.4,228.84,232.31,artifacts/load/perf-compare-local-20260903-160443\msa-admin_users-run1-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_users-run1-metrics.csv
admin_users,mono,2,20,600,296.87,44.82,64.14,0,0.0,26.2,52.4,189.36,189.39,artifacts/load/perf-compare-local-20260903-160443\mono-admin_users-run2-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_users-run2-metrics.csv
admin_users,msa,2,20,600,298.31,46.48,66.24,0,0.0,25.7,51.4,228.04,228.57,artifacts/load/perf-compare-local-20260903-160443\msa-admin_users-run2-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_users-run2-metrics.csv
admin_users,mono,3,20,600,297.4,45.68,67.4,0,0.0,27.85,55.7,190.54,190.56,artifacts/load/perf-compare-local-20260903-160443\mono-admin_users-run3-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_users-run3-metrics.csv
admin_users,msa,3,20,600,297.52,46.61,65.94,0,0.0,23.3,46.6,228.63,228.63,artifacts/load/perf-compare-local-20260903-160443\msa-admin_users-run3-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_users-run3-metrics.csv
admin_logs,mono,1,20,600,296.97,46.06,64.09,0,0.0,28.55,57.1,190.59,190.64,artifacts/load/perf-compare-local-20260903-160443\mono-admin_logs-run1-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_logs-run1-metrics.csv
admin_logs,msa,1,20,600,297.4,45.71,65.47,0,0.0,30.25,60.5,227.83,228.62,artifacts/load/perf-compare-local-20260903-160443\msa-admin_logs-run1-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_logs-run1-metrics.csv
admin_logs,mono,2,20,600,298.08,44.39,62.62,0,0.0,23.3,46.6,191.36,191.36,artifacts/load/perf-compare-local-20260903-160443\mono-admin_logs-run2-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_logs-run2-metrics.csv
admin_logs,msa,2,20,600,298.11,45.25,63.83,0,0.0,28.75,57.5,227.05,227.07,artifacts/load/perf-compare-local-20260903-160443\msa-admin_logs-run2-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_logs-run2-metrics.csv
admin_logs,mono,3,20,600,297.84,45.3,61.99,0,0.0,23.25,46.5,191.34,191.37,artifacts/load/perf-compare-local-20260903-160443\mono-admin_logs-run3-raw.csv,artifacts/load/perf-compare-local-20260903-160443\mono-admin_logs-run3-metrics.csv
admin_logs,msa,3,20,600,298.28,44.78,61.93,0,0.0,31.9,63.8,227.06,227.06,artifacts/load/perf-compare-local-20260903-160443\msa-admin_logs-run3-raw.csv,artifacts/load/perf-compare-local-20260903-160443\msa-admin_logs-run3-metrics.csv
